title,min,max
コンビニの商品の人気,人気ない,人気ある
100円ショップの商品の人気,人気ない,人気ある
飲食店の人気,人気ない,人気ある
駅の人気,人気ない,人気ある
中華料理の人気,人気ない,人気ある
学校給食の人気,人気ない,人気ある
有名人の人気,人気ない,人気ある
子供に人気なもの,人気ない,人気ある
アニメ・漫画のキャラの人気,人気ない,人気ある
ゲームキャラの人気（モンスター含む）,人気ない,人気ある
キャラクターの人気（ゆるキャラ含む）,人気ない,人気ある
プレゼント・お土産の人気,人気ない,人気ある
建物の人気,人気ない,人気ある
住みたい国や場所の人気,人気ない,人気ある
アプリ・ウェブサービスの人気,人気ない,人気ある
乗り物の人気,人気ない,人気ある
俳優の人気,人気ない,人気ある
悪役の人気,人気ない,人気ある
食べ物の人気,人気ない,人気ある
飲み物の人気,人気ない,人気ある
生き物の人気,人気ない,人気ある
おもちゃの人気,人気ない,人気ある
電化製品の人気,人気ない,人気ある
映画の人気,人気ない,人気ある
ミュージシャンの人気,人気ない,人気ある
お菓子・スイーツ・アイスの人気,人気ない,人気ある
ペットの人気,人気ない,人気ある
職業の人気,人気ない,人気ある
おにぎりの具の人気,人気ない,人気ある
パンの種類の人気,人気ない,人気ある
趣味の人気,人気ない,人気ある
メーカー（ブランド）の人気,人気ない,人気ある
アニメ・漫画の人気,人気ない,人気ある
ゲームの人気,人気ない,人気ある
和食料理の人気,人気ない,人気ある
洋食料理の人気,人気ない,人気ある
歴史上の人物の人気,人気ない,人気ある
声優の人気,人気ない,人気ある
童話の人気,人気ない,人気ある
歌・曲の人気,人気ない,人気ある
映画の登場人物の人気,人気ない,人気ある
アスリートの人気,人気ない,人気ある
スポーツの人気,人気ない,人気ある
テレビ番組の人気,人気ない,人気ある
恋人にしたい職業の人気,人気ない,人気ある
デートスポットの人気,人気ない,人気ある
ハネムーンで行きたい場所の人気,人気ない,人気ある
酒のつまみ・居酒屋メニューの人気,人気ない,人気ある
化粧品の人気,人気ない,人気ある
ボードゲームの人気,人気ない,人気ある
資格・免許の人気,人気ない,人気ある
旅行したい国や場所の人気,人気ない,人気ある
旅行先に持っていきたいもの,いらない,持っていきたい
ゾンビと戦うときに持っていきたいもの,いらない,持っていたい
無人島に持っていきたいもの,いらない,持っていきたい
一人暮らしに必要なもの,いらない,必須
美しいもの,美しくない,美しい
こわいもの,こわくない,こわい
楽しいこと,楽しくない,楽しい
嬉しいこと,嬉しくない,嬉しい
カバンに入っていたら嬉しいもの,嬉しくない,嬉しい
言われて嬉しい言葉,どうでもいい,嬉しい
なりたい生き物,なりたくない,なりたい
なりたい歴史上の人物,なりたくない,なりたい
なりたい有名人,なりたくない,なりたい
なりたいキャラ（アニメ・漫画・ゲーム）,なりたくない,なりたい
生き物の大きさ,小さい,大きい
学校にあるものの大きさ,小さい,大きい
歴史上の人物の強さ,弱い,強い
映画の登場人物の強さ,弱い,強い
生き物の強さ,弱い,強い
アニメ・漫画のキャラの強さ,弱い,強い
ゲームキャラの強さ（モンスター含む）,弱い,強い
強そうな言葉（漢字、熟語など）,弱そう,強そう
強そうな効果音（創作OK）,弱そう,強そう
有名人の年収・資産,貧乏,金持ち
重そうなもの,軽い,重い
ボードゲームの（物理的な）重さ,軽い,重い
食べ物のカロリー,低カロリー,高カロリー
モテる条件・特技,モテない,モテる
やわらかそうなもの,かたい,やわらかい
カッコいいもの,カッコ悪い,カッコいい
カッコいいセリフ,カッコ悪い,カッコいい
カッコいい苗字・名前,平凡,カッコいい
かわいいもの,かわいくない,かわいい
小学生が好きな言葉,好きじゃない,好き
中高生が好きな言葉,好きじゃない,好き
人生で大切なもの・こと,どうでもいい,大切
雪山で遭難したときにもっていたいもの,いらない,持っていたい
地球観光に来た宇宙人にあげたいお土産,あげたくない,あげたい
テンションが上がるもの・こと,上がらない,上がる
時代遅れの言葉,そうでもない,時代遅れ
オタクが喜ぶセリフ・設定,喜ばない,喜ぶ
グッとくる仕草・行動,グッとこない,グッとくる
結婚したい有名人,結婚したくない,結婚したい
結婚したいキャラ（アニメ・漫画・ゲーム）,結婚したくない,なってほしい
親になってほしいキャラ（アニメ・漫画・ゲーム）,なってほしくない,なってほしい
ほしい特殊能力・武器（必殺技・道具）,いらない,ほしい
便利なもの,不便,便利
されたいプロポーズ（セリフ・シチュエーション）,されたくない,されたい
旅先ですることの人気,人気ない,人気ある
白米に合いそうなもの,合わない,合う
中学生になって考えよう カッコいいもの・こと,カッコわるい,カッコいい
鳥肌が立つこと,少し立つ,超立つ
1000円くらいまででできる楽しいこと,そこそこ,楽しい
桃太郎になって考えよう 頼りになる家来,頼りにならない,頼りになる
動物園にいる動物の人気,人気ない,人気ある
男女がそれぞれ好きそうなもの,男が好きなもの,女が好きなもの
祖父母になって考えよう 孫に言われたら嬉しい言葉,嬉しくない,嬉しい
ふだん聞く言葉の頻度,あまり聞かない,よく聞く
破壊力のある言葉（パワーワード）,破壊力ない,破壊力ある
冷蔵庫になって考えよう 入れてほしいもの,入れてほしくない,入れてほしい
行事の人気,人気ない,人気ある
宝箱をあけて入ってたら嬉しいもの,嬉しくない,嬉しい
幼稚園児になって考えよう テンションが上がるとき,上がらない,上がる
上に乗ってみたい動物,乗りたくない,乗りたい
商店街のくじの景品でランクが高いもの,低い,高い
SNSを活用するにあたって大切なもの・こと,むしろダメ,大切
夏に行きたい場所や国の人気,人気ない,人気ある
「一生これしか食べられない」なら選びたい食べもの,選びたくない,選びたい
猫になって考えよう 心地のいい場所,心地わるい,心地いい
いい匂いのもの,わるい,いい
強そうな5文字,弱そう,強そう
芸人になって考えよう ヤバい罰ゲーム,ヤバくない,ヤバい
コンビニで買える食べ物の人気,人気ない,人気ある
公園の石をどかしたとき、あったらビックリするもの,少しビックリ,超ビックリ
小学生になって考えよう 嬉しいこと,嬉しくない,嬉しい
明るいもの,明るくない,明るい
言われたら嬉しいプロポーズの言葉,嬉しくない,嬉しい
探検家になって考えよう ワクワクする場所,ワクワクしない,ワクワクする
寿司ネタの人気,人気ない,人気ある
動物の特徴でほしいもの,ほしくない,ほしい
お嬢様になって考えよう 優秀な執事,ポンコツ,優秀
人からごちそうされたい食べ物,嬉しくない,嬉しい
桃太郎の場面（お話のどのあたりか）,むかしむかし,めでたしめでたし
能力者になって考えよう ハデに使えそうな脳力,地味,ハデ
海の生き物の人気,人気ない,人気ある
冷蔵庫の中にあったらテンションが上がるもの,上がらない,上がる
高校生になって考えよう 授業中、起きたら大変なこと,大変じゃない,大変
写真を撮りたくなるもの,そうでもない,撮りたくなる
どうしてもこれだけは許せないということ,許せなくはない,許せない
幸せを感じること,感じない,感じる
新婚旅行先の人気,行きたくない,行きたい
学校の先生に怒られそうなこと,怒られない,怒られる
犬になって考えよう 嬉しいこと,嬉しくない,嬉しい
よく行く場所,あまり行かない,よく行く
思わず見てしまうメールのタイトル,見ない,見てしまう
ボディビルダーになって考えよう 言われたいかけ声,言われたくない,言われたい
生まれ変わったらなりたい動物,なりたくない,なりたい
大人っぽい言動,子供っぽい,大人っぽい
動画配信者にとって必要な能力・資質,あっちゃダメ,必要
家族にしてもらったら嬉しいこと,嬉しくない,嬉しい
ショックを受けた好きな人のクセ,少しショック,超ショック
侍になって考えよう 尽くしたいタイプの人,尽くしたくない,尽くしたい
