title,min,max
アニメ・漫画の人気,人気ない,人気ある
なりたい有名人,なりたくない,なりたい
鳥肌が立つこと,立たない,立つ
写真を撮りたくなるもの,そうでもない,撮りたくなる
生きる上で大切なもの・こと,むしろダメ,大切
スポーツの人気,人気ない,人気ある
住みたい場所の人気,人気ない,人気ある
武器にしたら強そうな日用品,弱そう,強そう
ずっと見ていられるもの,見ていられない,見ていられる
リーダーにとって必要な能力・資質,あっちゃダメ,必要
童話の人気,人気ない,人気ある
ほしい（手に入れたい）特殊能力・武器（必殺技・道具）,いらない,ほしい
どうしてもこれだけは許せないということ,許せなくはない,許せない
うっかり信じてしまいそうなウソ,少し信じそう,超信じそう
幸せを感じること,感じない,感じる
付き合ってみたい（アニメ・漫画・ゲームの）キャラ,付き合いたくない,付き合ってみたい
映画の人気,人気ない,人気ある
包まれたいもの,包まれたくない,包まれたい
あったらおいしそうなアイスクリームの味,おいしくなさそう,おいしそう
ゾンビと戦うときに持っていたい武器・道具,いらない,持っていたい
アスリートの人気,人気ない,人気ある
なりたい（アニメ・漫画・ゲームの）キャラ,なりたくない,なりたい
いい匂いのもの,わるい,いい
疲れたときにしたいこと,したくない,したい
SNSを活用するにあたって大切なもの・こと,むしろダメ,大切
食べ物の人気,人気ない,人気ある
俳優の人気（男女問わず）,人気ない,人気ある
おみやげにもらったら嬉しいもの,嬉しくない,嬉しい
ガマンするのが難しいこと,少し難しい,超難しい
お笑い芸人にとって必要な能力・資質,あっちゃダメ,必要
重そうなもの,軽い,重い
歴史上の人物の人気,人気ない,人気ある
幼い頃に憧れたもの,少し憧れた,超憧れた
家にある便利なもの,便利じゃない,便利
愛されていると思うこと（愛を感じること）,愛されていない,愛されている
歌・曲の人気,人気ない,人気ある
メーカー（ブランド）の人気,人気ない,人気ある
寝起きにしたいこと,したくない,したい
聞こえてきたら嬉しい音,嬉しくない,嬉しい
中学生になって考えよう カッコいいもの・こと,カッコわるい,カッコいい
記念日のプレゼントの人気,人気ない,人気ある
旅行したい国の人気,人気ない,人気ある
恋人がしてくれたら嬉しいこと,嬉しくない,嬉しい
上に乗ってみたい動物,乗りたくない,乗りたい
小学生になって考えよう 嬉しいこと,嬉しくない,嬉しい
悪役の人気（実在・非実在問わず）,人気ない,人気ある
かわいいもの,かわいくない,かわいい
1人でやるにはハードルが高いこと,低い,高い
仕事をする上で必要な能力・資質,あっちゃダメ,必要
猫になって考えよう 心地のいい場所,心地わるい,心地いい
生き物の大きさ,小さい,大きい
やわらかそうなもの,かたい,やわらかい
5歳児が言ったらビックリする言葉,少しビックリ,超ビックリ
公園の石をどかしたとき、あったらビックリするもの,少しビックリ,超ビックリ
地球最後の日に頼りになりそうなもの,少し頼りになる,超頼りになる
よく行く場所,あまり行かない,よく行く
飲み物の人気,人気ない,人気ある
言われたら嬉しいプロポーズの言葉,嬉しくない,嬉しい
宝箱をあけて入ってたら嬉しいもの,嬉しくない,嬉しい
もしあったら参加してみたいお祭りの特徴,少し参加したい,超参加したい
おもちゃの人気,人気ない,人気ある
眠くなるもの,目が覚める,眠くなる
砂漠で遭難したときにほしいもの,いらない,ほしい
タイムマシンで行ってみたい時代と場所,少し行きたい,超行きたい
魔王になって考えよう こんな勇者はイヤだ,余裕,イヤだ
言われたら嬉しい言葉,どうでもいい,嬉しい
乗り物の人気,人気ない,人気ある
お尻から出てきたらビックリするもの,少しビックリ,超ビックリ
人からごちそうされたい食べ物,嬉しくない,嬉しい
科学者になって考えよう 発明したいもの・こと,したくない,したい
無人島に持っていきたいもの,いらない,持っていきたい
楽しいこと,楽しくない,楽しい
叫ぶと必殺技っぽい言葉（創作OK）,ぽくない,ぽい
見かけたら気になってしまう本のタイトル,少し気になる,超気になる
犬になって考えよう 嬉しいこと,嬉しくない,嬉しい
嬉しいこと,かなしい,嬉しい
カッコいいもの,カッコ悪い,カッコいい
友達になりたい人の特徴,なりたくない,なりたい
魔法使いになって考えよう 使ってみたい魔法,使いたくない,使ってみたい
学校の先生に言ったらビックリされそうなこと,少しビックリ,超ビックリ
美しいもの,醜い,美しい
お菓子・スイーツ・アイスの人気,人気ない,人気ある
これは恋か愛か,恋,愛
ヒーローになって考えよう ポーズのカッコよさ（実際にやる）,カッコわるい,カッコいい
入ってみたい漫画や小説の世界,入りたくない,入ってみたい
子供に人気なもの,人気ない,人気ある
カッコいい苗字・名前（ありそうならOK）,平凡,カッコいい
機嫌がいいときにしそうな行動,しなさそう,しそう
探検家になって考えよう ワクワクする場所,ワクワクしない,ワクワクする
人間関係で必要な能力・資質,あっちゃダメ,必要
映画の登場人物・キャラの強さ,弱い,強い
デートスポットの人気,人気ない,人気ある
「一生これしか食べられない」なら選びたい食べもの,選びたくない,選びたい
高校生になって考えよう 授業中、起きたら大変なこと,大変じゃない,大変
キャラクターの性格,クール,熱血
カバンに入っていたら嬉しいもの,嬉しくない,嬉しい
変顔の度合い（実際にやる）,ふつう顔,変顔
勇気ある行動,勇気ない,勇気ある
自分の分身ができたらやってほしいこと,やってほしくない,やってほしい
動画配信者にとって必要な能力・資質,あっちゃダメ,必要
