title,min,max
旅先ですることの人気,人気ない,人気ある
白米に合いそうなもの,合わない,合う
中学生になって考えよう カッコいいもの・こと,カッコわるい,カッコいい
鳥肌が立つこと,少し立つ,超立つ
1000円くらいまででできる楽しいこと,そこそこ,楽しい
桃太郎になって考えよう 頼りになる家来,頼りにならない,頼りになる
動物園にいる動物の人気,人気ない,人気ある
男女がそれぞれ好きそうなもの,男が好きなもの,女が好きなもの
祖父母になって考えよう 孫に言われたら嬉しい言葉,嬉しくない,嬉しい
ふだん聞く言葉の頻度,あまり聞かない,よく聞く
破壊力のある言葉（パワーワード）,破壊力ない,破壊力ある
冷蔵庫になって考えよう 入れてほしいもの,入れてほしくない,入れてほしい
行事の人気,人気ない,人気ある
宝箱をあけて入ってたら嬉しいもの,嬉しくない,嬉しい
幼稚園児になって考えよう テンションが上がるとき,上がらない,上がる
上に乗ってみたい動物,乗りたくない,乗りたい
商店街のくじの景品でランクが高いもの,低い,高い
SNSを活用するにあたって大切なもの・こと,むしろダメ,大切
夏に行きたい場所や国の人気,人気ない,人気ある
「一生これしか食べられない」なら選びたい食べもの,選びたくない,選びたい
猫になって考えよう 心地のいい場所,心地わるい,心地いい
いい匂いのもの,わるい,いい
強そうな5文字,弱そう,強そう
芸人になって考えよう ヤバい罰ゲーム,ヤバくない,ヤバい
コンビニで買える食べ物の人気,人気ない,人気ある
公園の石をどかしたとき、あったらビックリするもの,少しビックリ,超ビックリ
小学生になって考えよう 嬉しいこと,嬉しくない,嬉しい
明るいもの,明るくない,明るい
言われたら嬉しいプロポーズの言葉,嬉しくない,嬉しい
探検家になって考えよう ワクワクする場所,ワクワクしない,ワクワクする
寿司ネタの人気,人気ない,人気ある
動物の特徴でほしいもの,ほしくない,ほしい
お嬢様になって考えよう 優秀な執事,ポンコツ,優秀
人からごちそうされたい食べ物,嬉しくない,嬉しい
桃太郎の場面（お話のどのあたりか）,むかしむかし,めでたしめでたし
能力者になって考えよう ハデに使えそうな脳力,地味,ハデ
海の生き物の人気,人気ない,人気ある
冷蔵庫の中にあったらテンションが上がるもの,上がらない,上がる
高校生になって考えよう 授業中、起きたら大変なこと,大変じゃない,大変
写真を撮りたくなるもの,そうでもない,撮りたくなる
どうしてもこれだけは許せないということ,許せなくはない,許せない
幸せを感じること,感じない,感じる
新婚旅行先の人気,行きたくない,行きたい
学校の先生に怒られそうなこと,怒られない,怒られる
犬になって考えよう 嬉しいこと,嬉しくない,嬉しい
よく行く場所,あまり行かない,よく行く
思わず見てしまうメールのタイトル,見ない,見てしまう
ボディビルダーになって考えよう 言われたいかけ声,言われたくない,言われたい
生まれ変わったらなりたい動物,なりたくない,なりたい
大人っぽい言動,子供っぽい,大人っぽい
動画配信者にとって必要な能力・資質,あっちゃダメ,必要
家族にしてもらったら嬉しいこと,嬉しくない,嬉しい
ショックを受けた好きな人のクセ,少しショック,超ショック
侍になって考えよう 尽くしたいタイプの人,尽くしたくない,尽くしたい
食べ物のやわらかさ,かたい,やわらかい
突然の一日オフ。最高の過ごし方は？,最悪,最高
先生になって考えよう 卒業式に言われて嬉しい言葉,嬉しくない,嬉しい
幼いころにほしかったもの,そうでもない,ほしかった
宇宙にいるときにやってみたい行動,やりたくない,やってみたい
お笑い芸人にとって必要な能力・資質,あっちゃダメ,必要
寝起きにしたいこと,したくない,したい
変顔の度合い（実際にやる）,ふつう顔,変顔
修学旅行生になって考えよう 行きたい旅行先,行きたくない,行きたい
部屋の中にある大切なもの,大切ではない,大切
痛い思い出（物理・精神どちらでも）,痛くない,痛い
生きる上で大切なもの・こと,むしろダメ,大切
食べ物の辛さ,辛くない,辛い
カッコいいと思うエピソード,カッコわるい,カッコいい
就活中の大学生になって考えよう 働きたい職場,働きたくない,働きたい
聞こえてきたら嬉しい音,嬉しくない,嬉しい
厳しく無口な父に言われたら嬉しい言葉,嬉しくない,嬉しい
アイドル業にとって必要な能力・資質,あっちゃダメ,必要
黒いもの,黒くない,黒い
卒業式で流したら感動する音楽や効果音,ぶち壊し,感動する
魔法使いになって考えよう 使ってみたい魔法,使いたくない,使ってみたい
日常に起こるいいこと,よくない,いい
片思い中の好きな人に言われたら嬉しい言葉,嬉しくない,嬉しい
